Title,Price,Rating,Reviews,Rating_Num,Reviews_Int,Rating_Category
"ROSIDA Wireless Headphones for TV, Over-Ear Bluetooth 5.3 TV Headset for Seniors, 196ft Wireless Range Support Optical,AUX, RCA and USB Output,High Volume, Hi-Fi Audio&No Delay,Up to 30 Hours Playtime",59.99,4.2 out of 5 stars,613,4.2,613,High
"LEVN Hybrid Active Noise Cancelling Headphones, Wireless Headphones Bluetooth 5.4 with Transparent Mode, Hi-Res Audio, Deep Bass, 70H Playtime Over Ear Bluetooth Headset for Work/Travel/Home/Office",43.02,4.8 out of 5 stars,979,4.8,979,High
"Sponsored Ad - Wireless Earbuds, Bluetooth 5.3 Ear Buds, Headphones with Clear Stereo Sound, 40H Playtime with LED Digital Display, IPX7 Waterproof Earphones Built-in Mic for Phone Tablet Sports Workout",19.99,4.9 out of 5 stars,556,4.9,556,High
"JOYWISE Bluetooth Wireless Headphones 16H Playtime Earbuds with Mic Stereo in-Ear Earphones, IPX7 Waterproof Sports Sound Isolation Headsets for Running, Gym, Workout",13.98,4.4 out of 5 stars,2605,4.4,2605,High
"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Laptop/Phones/Sports, White",21.99,5.0 out of 5 stars,120,5.0,120,High
"Sponsored Ad - Monster Persona 3rd ANC Active Noise Canceling Headphones, Over Ear Wireless Headphone Bluetooth with Mic, 70 Hours Playtime Bluetooth Headphones, Foldable Comfort Lightweight Headphone for Travel",43.02,4.1 out of 5 stars,66,4.1,66,High
"Sponsored Ad - N18 Neckband Bluetooth Earbuds, Wireless Bluetooth 5.2 Headphones with Microphone, Ultra-Lightweight Comfort, IPX7 Waterproof, Deep Bass Strong Beat, 20H Playtime, Magnetic Earphones (Black)",43.02,4.3 out of 5 stars,3201,4.3,3201,High
"JBL Live 660NC - Wireless Over-ear Noise Cancelling headphones, JBL Signature Sound, Voice Assist, Up to 50Hrs of Battery with Speed Charging, Comfort-fit fabric headband and carrying pouch (Black)",43.02,4.4 out of 5 stars,4376,4.4,4376,High
Wireless Bluetooth Headphones Over Ear 65H Playtime HiFi Stereo Headset with Microphone and 6EQ Modes Foldable Bluetooth V5.3 Headphones for Travel Smartphone Computer Laptop Rose Gold,17.99,4.6 out of 5 stars,10834,4.6,10834,High
"Wireless Headset with AI Noise Cancelling Microphone Bluetooth Headset - Bluetooth V5.2 Headphones with USB Dongle, Charging Base & Mic Mute for Computer/Laptop/PC/iPhone/Android/Cell Phones",53.99,4.2 out of 5 stars,511,4.2,511,High
Wireless Bluetooth Headphones Over Ear 68H Playtime HiFi Stereo Headset with Microphone and 3EQ Modes Foldable Bluetooth V5.3 Headphones for Travel Smartphone Computer Laptop,14.16,4.5 out of 5 stars,3690,4.5,3690,High
